total_sold,venueid,catid,holiday,day_of_week
58,12,9,0,4
53,219,6,0,2
57,102,9,0,5
55,300,8,0,5
35,225,6,0,0
39,109,9,0,3
38,308,8,0,5
39,2,9,0,1
55,247,6,0,2
4,29,9,0,2
25,203,6,0,5
43,89,9,0,6
45,204,7,0,4
2,240,7,0,2
49,241,7,0,3
19,46,9,0,0
47,17,9,0,1
56,18,9,0,3
28,101,9,0,1
53,246,7,0,1
37,307,8,0,6
62,99,9,0,0
42,222,6,0,4
61,107,9,0,1
61,89,9,0,4
28,206,6,0,0
29,305,8,0,0
51,2,9,0,5
39,22,9,0,0
30,93,9,0,2
15,112,9,0,5
30,63,9,0,4
183,42,9,0,0
58,237,7,0,1
29,124,9,0,3
61,202,6,0,0
53,230,6,0,2
72,240,7,0,2
37,7,9,0,1
66,260,6,0,2
27,241,7,0,0
49,238,7,0,2
25,13,9,0,1
39,300,8,0,6
31,118,9,0,5
33,207,7,0,1
41,19,9,0,1
30,202,6,0,2
31,224,7,0,5
31,200,7,0,4
81,238,6,0,6
34,56,9,0,3
57,78,9,0,5
45,52,9,0,4
49,68,9,0,0
67,92,9,0,5
44,27,9,0,4
51,11,9,0,1
39,238,6,0,1
33,56,9,0,4
46,247,7,0,6
60,27,9,0,2
38,32,9,0,1
23,30,9,0,1
30,2,9,0,6
29,33,9,0,3
26,84,9,0,2
31,205,6,0,3
77,240,7,0,2
49,130,9,0,1
37,22,9,0,4
50,93,9,0,3
65,56,9,0,2
63,241,6,0,6
77,223,7,0,5
58,31,9,0,4
53,245,7,0,1
33,69,9,0,1
49,217,6,0,1
23,7,9,0,3
10,54,9,0,3
6,111,9,0,3
35,241,7,0,0
25,300,8,0,3
31,253,6,0,5
89,217,6,0,6
47,64,9,0,6
31,301,8,0,0
29,206,7,0,0
58,97,9,0,6
44,107,9,0,4
37,202,6,0,4
34,205,7,0,4
56,40,9,0,6
82,80,9,0,6
30,204,7,0,3
56,241,7,0,6
16,61,9,0,0
14,52,9,0,3
37,247,7,0,3
33,240,6,0,3
53,13,9,0,2
62,211,7,0,3
45,123,9,0,0
53,89,9,0,1
42,38,9,0,1
45,3,9,0,5
4,75,9,0,3
68,24,9,0,2
47,216,7,0,4
48,99,9,0,5
4,27,9,0,0
72,115,9,0,6
44,205,7,0,4
18,114,9,0,6
64,109,9,0,2
40,20,9,0,3
33,238,6,0,6
51,203,6,0,3
53,36,9,0,5
40,3,9,0,1
41,82,9,0,5
36,235,7,0,1
47,30,9,0,6
53,83,9,0,1
40,216,7,0,2
35,33,9,0,6
38,210,7,0,6
51,259,6,0,5
71,53,9,0,2
37,307,8,0,3
18,302,8,0,3
42,300,8,0,6
42,112,9,0,3
89,229,7,0,1
41,210,7,0,1
36,222,7,0,2
34,221,6,0,3
34,124,9,0,6
60,53,9,0,6
26,77,9,0,1
57,240,6,0,1
46,13,9,0,2
72,112,9,0,1
38,12,9,0,4
67,44,9,0,5
31,69,9,0,3
55,200,7,0,5
68,92,9,0,3
25,206,6,0,4
54,307,8,0,3
57,124,9,0,1
48,71,9,0,6
40,236,6,0,2
20,106,9,0,5
29,56,9,0,2
67,69,9,0,5
13,29,9,0,0
61,129,9,0,4
22,99,9,0,6
41,87,9,0,4
62,112,9,0,0
31,17,9,0,1
30,218,6,0,4
27,88,9,0,5
47,93,9,0,5
51,260,6,0,1
28,98,9,0,5
66,122,9,0,6
60,69,9,0,1
53,92,9,0,6
28,220,6,0,5
63,247,6,0,1
24,206,7,0,1
28,207,6,0,5
57,222,7,0,3
28,125,9,0,2
78,14,9,0,1
50,52,9,0,6
38,259,6,0,3
3,306,8,0,4
57,58,9,0,5
2,15,9,0,5
4,53,9,0,1
36,64,9,0,3
72,212,6,0,3
50,127,9,0,4
50,56,9,0,0
57,235,6,0,2
53,204,7,0,1
36,201,7,0,5
38,52,9,0,0
28,238,7,0,6
30,116,9,0,5
29,98,9,0,3
63,10,9,0,2
23,108,9,0,1
55,309,8,0,1
49,122,9,0,0
36,52,9,0,1
54,46,9,0,6
54,203,7,0,6
66,222,6,0,6
52,223,7,0,2
51,31,9,0,3
25,9,9,0,3
1,211,7,0,0
57,50,9,0,2
52,11,9,0,5
10,238,7,0,2
37,202,7,0,3
64,19,9,0,3
54,308,8,0,0
37,104,9,0,0
48,226,7,0,0
27,60,9,0,1
36,232,7,0,0
25,251,6,0,6
38,231,7,0,0
20,75,9,0,1
40,244,7,0,5
66,39,9,0,0
58,224,7,0,5
39,201,7,0,0
45,26,9,0,0
51,209,7,0,3
39,243,7,0,5
58,211,7,0,1
29,16,9,0,5
86,92,9,0,4
66,308,8,0,0
53,84,9,0,2
32,3,9,0,4
113,62,9,0,6
40,207,6,0,6
31,27,9,0,3
68,236,7,0,1
30,113,9,0,5
42,204,6,0,4
5,208,6,0,1
39,111,9,0,1
26,109,9,0,6
59,128,9,0,5
83,227,7,0,4
44,113,9,0,4
55,224,7,0,3
56,121,9,0,4
70,236,7,0,6
57,67,9,0,0
47,207,6,0,4
47,110,9,0,1
36,36,9,0,2
16,108,9,0,4
63,12,9,0,4
34,54,9,0,6
29,237,7,0,4
39,65,9,0,2
33,307,8,0,6
67,57,9,0,1
54,31,9,0,2
45,63,9,0,6
29,123,9,0,2
54,201,7,0,4
54,114,9,0,1
32,22,9,0,6
40,110,9,0,3
67,85,9,0,5
45,55,9,0,3
48,38,9,0,0
19,36,9,0,3
20,68,9,0,4
75,232,7,0,3
47,211,7,0,5
17,261,6,0,0
8,95,9,0,4
14,201,6,0,3
36,91,9,0,0
50,74,9,0,3
21,62,9,0,5
49,30,9,0,4
51,202,7,0,1
56,309,8,0,4
16,209,7,0,0
5,46,9,0,4
31,223,6,0,1
23,241,7,0,6
68,48,9,0,6
27,99,9,0,6
63,76,9,0,2
91,103,9,0,1
29,51,9,0,0
2,305,8,0,2
59,29,9,0,2
64,43,9,0,6
33,116,9,0,6
42,36,9,0,6
50,110,9,0,0
35,305,8,0,2
38,12,9,0,3
63,239,7,0,3
48,220,7,0,0
38,209,7,0,2
35,64,9,0,6
7,43,9,0,0
53,44,9,0,0
25,206,7,0,1
44,105,9,0,2
35,263,6,0,4
38,249,7,0,6
29,202,7,0,2
48,74,9,0,1
28,49,9,0,5
42,230,6,0,0
13,42,9,0,6
28,201,7,0,2
1,229,7,0,0
14,237,7,0,6
30,210,6,0,3
25,78,9,0,6
43,308,8,0,2
11,237,6,0,3
12,26,9,0,6
60,83,9,0,2
46,16,9,0,1
64,231,6,0,2
25,21,9,0,3
49,230,7,0,5
49,238,7,0,0
48,230,7,0,2
31,76,9,0,0
49,2,9,0,0
35,75,9,0,5
62,242,7,0,0
43,93,9,0,4
68,71,9,0,5
54,124,9,0,6
31,119,9,0,5
30,309,8,0,6
68,249,7,0,0
28,224,6,0,4
29,245,7,0,5
59,300,8,0,5
42,25,9,0,6
70,50,9,0,6
28,89,9,0,0
65,71,9,0,6
21,126,9,0,1
34,302,8,0,2
36,231,7,0,4
38,3,9,0,5
34,305,8,0,2
41,129,9,0,6
70,122,9,0,4
67,12,9,0,3
34,227,6,0,6
33,25,9,0,3
36,211,6,0,6
41,44,9,0,6
55,204,7,0,2
21,219,7,0,5
37,222,6,0,0
44,70,9,0,4
57,261,6,0,6
36,223,7,0,2
72,202,7,0,2
48,94,9,0,3
55,223,7,0,3
23,126,9,0,3
31,206,7,0,5
62,200,6,0,4
47,80,9,0,1
65,42,9,0,4
46,114,9,0,3
18,235,6,0,1
70,230,7,0,4
37,71,9,0,5
18,217,7,0,6
35,27,9,0,1
38,33,9,0,4
35,213,6,0,0
44,300,8,0,0
81,38,9,0,2
33,122,9,0,2
54,58,9,0,5
39,239,6,0,6
60,250,6,0,0
47,227,7,0,1
53,244,7,0,1
58,82,9,0,5
36,222,7,0,0
46,215,7,0,2
16,232,6,0,2
59,226,7,0,3
45,240,7,0,5
23,13,9,0,0
20,237,6,0,0
35,208,7,0,3
33,218,6,0,0
65,22,9,0,4
26,208,6,0,2
40,214,7,0,1
43,46,9,0,0
42,119,9,0,2
34,1,9,0,6
34,216,6,0,5
52,106,9,0,3
38,248,7,0,6
64,308,8,0,5
18,113,9,0,2
17,26,9,0,3
47,58,9,0,0
36,50,9,0,3
36,80,9,0,2
47,257,6,0,2
2,61,9,0,5
36,18,9,0,0
60,220,6,0,2
26,229,6,0,5
38,32,9,0,1
51,213,6,0,3
30,226,7,0,1
46,224,7,0,3
22,62,9,0,6
69,48,9,0,0
47,44,9,0,0
29,63,9,0,1
17,64,9,0,5
56,118,9,0,3
49,230,7,0,6
85,216,7,0,0
51,51,9,0,6
14,56,9,0,4
52,238,7,0,0
35,306,8,0,5
24,37,9,0,4
26,39,9,0,0
55,230,7,0,0
30,59,9,0,5
47,300,8,0,4
32,225,7,0,0
4,239,6,0,6
36,240,7,0,3
24,229,7,0,4
21,40,9,0,4
38,126,9,0,5
59,304,8,0,0
52,232,7,0,6
49,209,6,0,4
56,113,9,0,6
34,16,9,0,6
66,306,8,0,4
66,218,7,0,6
2,217,7,0,2
18,107,9,0,3
48,127,9,0,6
29,34,9,0,3
22,205,7,0,6
45,307,8,0,1
48,77,9,0,1
65,98,9,0,3
73,47,9,0,3
66,55,9,0,5
49,65,9,0,4
35,97,9,0,0
33,116,9,0,0
15,226,7,0,4
47,242,6,0,1
41,123,9,0,4
71,3,9,0,4
33,200,7,0,4
48,31,9,0,0
26,227,7,0,4
18,94,9,0,0
1,60,9,0,0
28,12,9,0,5
27,26,9,0,4
36,1,9,0,3
41,309,8,0,6
36,107,9,0,3
54,34,9,0,4
19,71,9,0,6
38,103,9,0,5
36,243,7,0,5
25,12,9,0,0
45,66,9,0,2
29,94,9,0,3
45,49,9,0,4
42,212,7,0,1
22,200,7,0,0
81,110,9,0,2
46,97,9,0,5
28,227,7,0,4
64,108,9,0,6
29,216,6,0,1
81,16,9,0,3
49,78,9,0,2
38,309,8,0,1
3,208,6,0,1
21,114,9,0,6
34,240,6,0,4
12,200,6,0,0
37,91,9,0,3
43,115,9,0,0
27,49,9,0,6
46,8,9,0,5
39,93,9,0,6
56,19,9,0,0
34,86,9,0,1
27,25,9,0,0
44,54,9,0,6
17,71,9,0,2
39,226,7,0,5
42,96,9,0,3
15,62,9,0,2
40,1,9,0,0
3,74,9,0,6
38,257,6,0,4
52,236,7,0,0
22,104,9,0,2
30,243,6,0,2
13,247,7,0,2
46,220,7,0,4
49,85,9,0,5
39,100,9,0,5
64,105,9,0,6
26,14,9,0,4
23,209,6,0,0
45,80,9,0,5
63,234,6,0,6
55,94,9,0,0
9,300,8,0,5
27,217,7,0,0
49,208,7,0,6
31,127,9,0,1
46,215,6,0,2
52,80,9,0,4
12,3,9,0,3
43,218,7,0,2
51,227,7,0,2
25,224,6,0,4
39,303,8,0,6
33,302,8,0,3
23,211,6,0,2
20,116,9,0,1
10,85,9,0,6
55,232,7,0,0
77,236,7,0,2
36,244,7,0,5
32,248,6,0,3
50,244,7,0,6
26,240,6,0,2
28,201,7,0,3
53,244,7,0,3
58,203,7,0,6
47,105,9,0,1
66,83,9,0,1
46,21,9,0,1
42,80,9,0,1
53,19,9,0,5
28,123,9,0,1
1,54,9,0,4
28,206,7,0,0
66,241,7,0,4
40,208,7,0,6
7,41,9,0,2
56,11,9,0,0
21,259,6,0,2
46,262,6,0,5
64,302,8,0,1
37,305,8,0,3
48,201,7,0,3
16,94,9,0,1
37,216,7,0,3
26,103,9,0,4
68,239,6,0,2
39,232,7,0,1
16,215,7,0,0
31,212,6,0,2
93,248,7,0,5
30,214,7,0,6
43,112,9,0,3
57,245,6,0,4
53,216,6,0,5
46,209,7,0,4
38,12,9,0,1
51,255,6,0,2
62,46,9,0,2
4,219,6,0,2
42,16,9,0,4
58,4,9,0,3
67,82,9,0,1
29,221,7,0,6
139,100,9,0,0
43,203,7,0,4
42,84,9,0,3
33,208,6,0,5
49,211,6,0,1
32,201,7,0,4
3,247,7,0,5
34,71,9,0,0
63,214,7,0,3
32,246,6,0,6
1,26,9,0,5
41,57,9,0,1
1,15,9,0,5
34,10,9,0,0
12,217,7,0,0
24,60,9,0,2
30,242,7,0,3
17,50,9,0,4
43,49,9,0,2
2,28,9,0,3
85,209,7,0,1
42,117,9,0,5
33,220,7,0,4
67,216,6,0,3
4,238,6,0,3
2,259,6,0,1
2,248,7,0,4
112,88,9,0,6
17,28,9,0,0
73,128,9,0,1
59,2,9,0,4
46,301,8,0,5
47,249,7,0,1
30,124,9,0,0
20,86,9,0,5
42,233,7,0,0
45,19,9,0,4
42,117,9,0,4
15,244,7,0,5
35,23,9,0,4
43,128,9,0,3
53,203,7,0,4
34,46,9,0,1
84,300,8,0,1
48,122,9,0,5
54,86,9,0,4
47,28,9,0,3
57,100,9,0,5
54,258,6,0,6
43,3,9,0,5
50,106,9,0,2
26,22,9,0,6
15,102,9,0,4
28,70,9,0,3
35,307,8,0,3
43,98,9,0,3
3,113,9,0,4
37,308,8,0,3
34,300,8,0,6
46,251,6,0,5
37,220,7,0,3
57,217,7,0,2
27,64,9,0,2
35,29,9,0,2
29,6,9,0,4
40,204,7,0,0
42,201,6,0,2
46,67,9,0,0
37,65,9,0,1
64,17,9,0,0
41,98,9,0,3
19,11,9,0,3
24,40,9,0,1
26,68,9,0,3
7,204,6,0,4
45,60,9,0,6
31,46,9,0,2
45,105,9,0,5
83,97,9,0,1
69,40,9,0,5
47,56,9,0,6
22,46,9,0,0
29,15,9,0,5
73,226,7,0,3
48,307,8,0,0
5,200,7,0,0
16,203,6,0,3
56,124,9,0,2
42,111,9,0,0
56,201,7,0,6
58,116,9,0,2
29,6,9,0,1
8,8,9,0,6
8,212,6,0,6
50,64,9,0,4
52,207,6,0,1
62,235,7,0,4
91,218,6,0,2
20,14,9,0,0
40,303,8,0,3
14,84,9,0,2
113,104,9,0,0
45,30,9,0,5
48,223,6,0,2
50,57,9,0,0
76,51,9,0,3
52,225,6,0,4
43,22,9,0,6
34,72,9,0,5
18,228,6,0,5
44,243,7,0,3
44,12,9,0,3
24,70,9,0,1
62,213,7,0,6
46,212,6,0,5
46,303,8,0,1
61,227,7,0,4
3,304,8,0,6
82,6,9,0,2
11,64,9,0,1
24,205,7,0,3
82,91,9,0,1
48,82,9,0,4
35,228,7,0,6
52,249,7,0,1
33,50,9,0,6
52,246,6,0,4
30,233,7,0,4
76,211,7,0,4
35,34,9,0,6
54,63,9,0,0
19,214,7,0,1
52,225,7,0,0
58,305,8,0,4
44,104,9,0,1
47,200,7,0,5
30,61,9,0,3
50,51,9,0,4
27,73,9,0,1
40,254,6,0,3
43,214,7,0,6
36,62,9,0,2
31,201,7,0,0
36,309,8,0,0
51,58,9,0,4
77,73,9,0,1
34,90,9,0,6
33,220,6,0,4
40,14,9,0,2
19,47,9,0,0
20,231,7,0,6
5,115,9,0,0
74,303,8,0,6
26,204,7,0,1
43,301,8,0,6
38,94,9,0,1
50,304,8,0,0
67,308,8,0,4
61,89,9,0,6
50,306,8,0,0
47,63,9,0,3
54,23,9,0,0
63,19,9,0,2
33,87,9,0,4
42,66,9,0,2
58,97,9,0,0
12,259,6,0,0
58,214,7,0,5
5,237,7,0,1
50,106,9,0,0
35,116,9,0,4
29,240,6,0,0
43,103,9,0,4
59,207,7,0,0
6,247,6,0,1
21,113,9,0,4
57,129,9,0,4
54,204,7,0,2
43,64,9,0,2
61,256,6,0,1
65,212,7,0,6
54,128,9,0,3
51,235,6,0,2
45,237,7,0,1
29,84,9,0,5
45,96,9,0,5
39,3,9,0,0
57,73,9,0,5
55,30,9,0,6
28,219,7,0,5
35,249,7,0,2
19,200,7,0,2
42,120,9,0,4
44,19,9,0,0
29,222,6,0,5
40,2,9,0,0
50,99,9,0,1
51,230,6,0,6
37,44,9,0,3
27,13,9,0,0
35,61,9,0,3
47,207,6,0,6
40,224,7,0,1
55,227,6,0,3
59,101,9,0,0
38,54,9,0,3
37,64,9,0,4
58,117,9,0,6
39,129,9,0,2
48,248,6,0,1
25,237,6,0,3
58,205,7,0,0
51,41,9,0,5
67,124,9,0,0
29,18,9,0,0
61,83,9,0,5
13,52,9,0,6
1,213,6,0,2
41,237,7,0,2
55,260,6,0,1
146,86,9,0,0
39,99,9,0,3
68,204,7,0,0
34,86,9,0,5
57,200,7,0,1
56,237,7,0,5
47,14,9,0,5
61,215,6,0,0
25,202,6,0,6
17,202,7,0,1
51,204,6,0,6
41,87,9,0,4
61,126,9,0,5
7,90,9,0,4
25,230,7,0,4
50,32,9,0,1
56,222,7,0,4
26,72,9,0,1
37,98,9,0,0
51,65,9,0,4
53,244,7,0,3
35,220,7,0,2
1,60,9,0,3
49,251,6,0,5
27,97,9,0,2
26,93,9,0,3
24,101,9,0,2
35,203,6,0,6
41,306,8,0,5
2,22,9,0,4
38,115,9,0,2
48,27,9,0,4
46,226,7,0,5
52,245,6,0,3
24,210,7,0,1
57,64,9,0,3
35,74,9,0,3
18,127,9,0,2
46,96,9,0,3
31,120,9,0,3
42,226,6,0,1
46,115,9,0,6
52,245,6,0,1
91,221,6,0,2
43,201,7,0,2
64,20,9,0,2
17,92,9,0,0
34,91,9,0,3
44,222,6,0,1
40,305,8,0,4
55,88,9,0,4
33,306,8,0,5
13,123,9,0,5
57,233,7,0,1
51,29,9,0,5
41,245,6,0,1
53,29,9,0,5
35,105,9,0,1
26,89,9,0,1
35,20,9,0,4
67,255,6,0,1
46,259,6,0,4
43,86,9,0,5
21,69,9,0,6
17,221,6,0,4
73,39,9,0,3
74,104,9,0,1
45,66,9,0,4
56,17,9,0,4
52,108,9,0,2
26,108,9,0,3
28,37,9,0,2
57,110,9,0,3
3,100,9,0,0
5,214,6,0,1
53,119,9,0,5
68,207,7,0,4
46,233,6,0,2
47,303,8,0,0
46,64,9,0,4
44,20,9,0,2
25,228,6,0,3
66,258,6,0,0
93,203,7,0,0
45,63,9,0,1
57,86,9,0,1
41,111,9,0,6
29,68,9,0,1
58,85,9,0,0
62,107,9,0,6
26,213,7,0,1
28,106,9,0,6
48,303,8,0,4
18,67,9,0,6
30,309,8,0,2
53,61,9,0,1
43,210,7,0,3
44,25,9,0,6
31,40,9,0,1
48,210,7,0,3
46,110,9,0,0
34,238,6,0,5
92,7,9,0,2
41,58,9,0,6
83,49,9,0,4
65,74,9,0,5
39,219,7,0,0
62,233,6,0,2
40,1,9,0,3
26,104,9,0,4
63,203,7,0,2
54,302,8,0,5
34,44,9,0,4
52,221,7,0,4
88,20,9,0,2
5,53,9,0,0
35,14,9,0,1
52,258,6,0,1
29,43,9,0,6
45,65,9,0,1
27,13,9,0,2
25,239,6,0,2
56,16,9,0,3
45,227,6,0,4
29,26,9,0,5
36,61,9,0,4
31,217,7,0,4
50,18,9,0,4
38,56,9,0,3
34,230,6,0,5
70,114,9,0,0
42,9,9,0,3
65,17,9,0,2
72,247,6,0,1
95,209,7,0,5
25,245,7,0,2
47,29,9,0,3
38,100,9,0,6
40,61,9,0,1
49,30,9,0,3
33,239,6,0,1
47,234,7,0,6
44,10,9,0,2
55,55,9,0,4
61,39,9,0,1
48,35,9,0,2
26,225,7,0,3
36,56,9,0,6
42,111,9,0,1
35,234,7,0,0
41,246,7,0,0
35,108,9,0,5
58,203,6,0,3
2,116,9,0,5
40,23,9,0,4
97,200,7,0,0
38,32,9,0,3
49,100,9,0,5
33,86,9,0,2
16,119,9,0,6
52,27,9,0,6
51,214,7,0,6
44,210,7,0,0
62,233,7,0,2
36,216,7,0,0
42,42,9,0,2
2,101,9,0,5
22,61,9,0,1
29,16,9,0,2
68,104,9,0,6
55,44,9,0,4
41,34,9,0,0
67,232,6,0,4
47,217,7,0,4
44,20,9,0,2
38,64,9,0,4
60,55,9,0,4
32,78,9,0,0
46,307,8,0,5
18,130,9,0,3
7,1,9,0,2
44,217,7,0,1
25,91,9,0,3
33,58,9,0,1
55,1,9,0,4
1,262,6,0,4
36,214,7,0,0
58,114,9,0,1
18,37,9,0,1
76,206,7,0,5
36,225,6,0,0
31,207,6,0,2
8,305,8,0,2
33,10,9,0,3
26,205,6,0,1
31,221,6,0,3
10,213,7,0,6
33,43,9,0,2
47,231,6,0,4
55,83,9,0,6
38,220,7,0,2
49,239,6,0,0
35,215,7,0,0
84,212,7,0,3
39,60,9,0,5
47,88,9,0,6
47,82,9,0,5
31,11,9,0,2
47,78,9,0,0
43,9,9,0,4
52,308,8,0,0
44,76,9,0,3
39,62,9,0,3
53,36,9,0,2
52,98,9,0,0
58,239,7,0,2
42,258,6,0,5
72,209,6,0,3
45,109,9,0,6
77,61,9,0,4
56,226,6,0,6
49,32,9,0,2
3,102,9,0,2
34,255,6,0,5
31,218,6,0,0
41,308,8,0,1
40,33,9,0,6
57,305,8,0,6
39,99,9,0,3
51,80,9,0,4
49,301,8,0,2
42,120,9,0,0
34,130,9,0,0
54,68,9,0,4
92,96,9,0,0
55,126,9,0,3
49,227,6,0,5
70,17,9,0,2
42,219,7,0,0
36,201,6,0,3
43,83,9,0,6
46,37,9,0,5
43,87,9,0,5
77,29,9,0,2
40,240,7,0,4
28,303,8,0,3
48,222,7,0,1
82,215,6,0,1
34,33,9,0,2
34,93,9,0,5
9,13,9,0,2
35,110,9,0,2
47,76,9,0,2
55,98,9,0,1
39,80,9,0,5
53,67,9,0,2
59,304,8,0,5
51,303,8,0,2
63,9,9,0,6
30,90,9,0,4
38,240,6,0,5
2,84,9,0,0
27,34,9,0,6
30,57,9,0,3
50,65,9,0,5
90,40,9,0,6
43,248,7,0,5
37,14,9,0,0
37,228,7,0,4
60,105,9,0,0
10,222,7,0,3
30,127,9,0,2
69,258,6,0,5
62,208,7,0,1
30,73,9,0,6
32,108,9,0,6
54,73,9,0,1
14,119,9,0,4
32,94,9,0,3
24,242,7,0,5
30,239,7,0,3
8,121,9,0,5
49,76,9,0,5
45,34,9,0,6
20,111,9,0,3
74,8,9,0,2
54,226,7,0,2
73,119,9,0,6
39,94,9,0,6
57,200,7,0,1
5,123,9,0,4
31,209,7,0,3
42,1,9,0,4
21,32,9,0,4
34,226,6,0,3
48,130,9,0,1
35,229,6,0,5
50,207,6,0,6
56,217,7,0,6
51,109,9,0,0
25,308,8,0,1
69,57,9,0,6
59,307,8,0,1
32,204,7,0,6
8,108,9,0,0
34,309,8,0,2
38,38,9,0,5
20,12,9,0,1
94,84,9,0,4
49,208,7,0,4
79,117,9,0,2
59,128,9,0,0
21,262,6,0,6
52,15,9,0,4
9,125,9,0,5
96,91,9,0,5
37,242,7,0,4
68,208,6,0,3
9,246,6,0,6
110,28,9,0,0
47,257,6,0,0
35,308,8,0,0
76,117,9,0,0
1,227,7,0,4
52,52,9,0,6
43,242,7,0,6
41,37,9,0,0
53,114,9,0,1
17,55,9,0,2
53,205,6,0,1
37,53,9,0,2
33,243,7,0,4
31,115,9,0,2
38,252,6,0,2
29,13,9,0,4
46,229,6,0,3
50,200,7,0,3
59,54,9,0,5
41,19,9,0,5
