total_sold,total_paid,venueid,catid,caldate,holiday
21,5609.0,14,9,2008-02-28,False
12,2123.0,72,9,2008-02-11,False
9,3468.0,46,9,2008-02-12,False
12,3709.0,212,6,2008-01-20,False
67,28881.0,41,9,2008-03-01,False
1,380.0,251,6,2008-01-08,False
12,3475.0,46,9,2008-01-21,False
7,2380.0,231,6,2008-01-29,False
6,1183.0,237,7,2008-01-13,False
46,7757.0,239,6,2008-03-02,False
41,10221.0,130,9,2008-02-23,False
15,5366.0,102,9,2008-02-15,False
4,1396.0,7,9,2008-01-10,False
11,1619.0,237,7,2008-02-02,False
27,4121.0,89,9,2008-02-26,False
4,1412.0,24,9,2008-01-09,False
6,1564.0,3,9,2008-01-18,False
23,7409.0,308,8,2008-02-17,False
7,3361.0,58,9,2008-01-20,False
68,19245.0,113,9,2008-02-23,False
19,4929.0,218,6,2008-02-04,False
33,6109.0,9,9,2008-03-01,False
11,2897.0,67,9,2008-01-24,False
6,2825.0,77,9,2008-01-14,False
27,7930.0,64,9,2008-02-20,False
8,2938.0,4,9,2008-01-14,False
28,4245.0,218,6,2008-03-02,False
18,7194.0,35,9,2008-02-03,False
4,162.0,222,6,2008-01-10,False
9,1156.0,13,9,2008-01-09,False
50,11875.0,79,9,2008-02-13,False
2,480.0,34,9,2008-01-11,False
10,2869.0,71,9,2008-01-21,False
13,1328.0,207,6,2008-02-04,False
27,7672.0,103,9,2008-02-01,False
5,814.0,228,7,2008-01-11,False
15,2888.0,100,9,2008-01-27,False
20,6529.0,98,9,2008-02-06,False
6,2360.0,243,7,2008-01-16,False
66,26325.0,228,7,2008-02-22,False
33,16755.0,93,9,2008-02-25,False
2,590.0,305,8,2008-01-09,False
12,11655.0,41,9,2008-01-28,False
98,26893.0,205,7,2008-02-23,False
23,4074.0,43,9,2008-02-19,False
25,6392.0,91,9,2008-02-21,False
2,98.0,1,9,2008-01-12,False
52,15658.0,64,9,2008-02-24,False
54,16424.0,239,7,2008-03-03,False
52,18469.0,14,9,2008-02-15,False
3,291.0,306,8,2008-01-11,False
2,104.0,12,9,2008-01-13,False
10,9065.0,245,6,2008-01-29,False
30,9746.0,207,7,2008-02-28,False
39,10250.0,22,9,2008-02-18,False
39,11471.0,122,9,2008-02-23,False
26,6499.0,27,9,2008-02-16,False
58,15976.0,92,9,2008-02-21,False
8,1094.0,27,9,2008-01-29,False
33,6729.0,302,8,2008-02-10,False
13,3965.0,70,9,2008-01-23,False
9,3227.0,41,9,2008-01-18,False
34,5761.0,203,6,2008-02-01,False
2,358.0,88,9,2008-01-11,False
35,19714.0,306,8,2008-02-16,False
2,944.0,242,6,2008-01-12,False
34,13794.0,46,9,2008-02-19,False
42,11461.0,235,6,2008-02-19,False
27,7596.0,217,7,2008-01-28,False
19,12070.0,124,9,2008-02-07,False
8,1368.0,75,9,2008-01-26,False
9,6161.0,212,7,2008-01-13,False
16,5861.0,79,9,2008-01-31,False
8,2832.0,8,9,2008-01-20,False
42,8735.0,309,8,2008-02-10,False
1,104.0,227,7,2008-01-11,False
4,2330.0,127,9,2008-01-20,False
3,132.0,73,9,2008-01-15,False
32,5098.0,22,9,2008-02-10,False
8,1533.0,247,6,2008-02-01,False
3,162.0,83,9,2008-01-11,False
93,25454.0,248,7,2008-03-01,False
4,888.0,239,6,2008-02-01,False
30,4095.0,257,6,2008-02-23,False
16,9188.0,108,9,2008-01-20,False
17,2419.0,41,9,2008-02-14,False
29,6863.0,93,9,2008-02-22,False
18,9752.0,82,9,2008-01-30,False
25,6517.0,19,9,2008-02-15,False
1,279.0,223,6,2008-01-10,False
28,7856.0,57,9,2008-02-08,False
7,2588.0,113,9,2008-01-30,False
22,3924.0,60,9,2008-02-07,False
42,11349.0,219,6,2008-02-28,False
39,4961.0,237,7,2008-02-06,False
11,5157.0,249,6,2008-02-17,False
36,12488.0,29,9,2008-03-04,False
28,8155.0,213,7,2008-02-14,False
3,457.0,204,7,2008-01-16,False
3,168.0,304,8,2008-01-13,False
23,5884.0,104,9,2008-02-08,False
2,184.0,108,9,2008-02-02,False
10,4920.0,213,7,2008-02-03,False
39,10133.0,236,7,2008-02-22,False
4,716.0,212,7,2008-01-16,False
7,1513.0,119,9,2008-01-14,False
30,7630.0,113,9,2008-02-16,False
21,5644.0,254,6,2008-01-27,False
37,8621.0,246,7,2008-02-21,False
21,12503.0,36,9,2008-02-05,False
24,4864.0,245,6,2008-01-25,False
41,8946.0,228,7,2008-02-20,False
22,5935.0,79,9,2008-02-04,False
7,1813.0,119,9,2008-01-18,False
1,418.0,247,7,2008-01-10,False
1,413.0,14,9,2008-01-13,False
52,14969.0,98,9,2008-03-03,False
52,12532.0,222,6,2008-02-24,False
26,15512.0,47,9,2008-02-09,False
43,11905.0,130,9,2008-03-01,False
15,8897.0,228,7,2008-02-06,False
15,3309.0,240,7,2008-02-07,False
2,270.0,2,9,2008-01-15,False
2,102.0,57,9,2008-01-15,False
44,9133.0,203,6,2008-03-04,False
26,17265.0,46,9,2008-01-30,False
53,16137.0,114,9,2008-02-19,False
9,2049.0,75,9,2008-01-28,False
38,11314.0,248,7,2008-02-10,False
22,7997.0,93,9,2008-02-10,False
10,1585.0,225,7,2008-01-24,False
7,1310.0,239,7,2008-01-22,False
3,886.0,60,9,2008-01-12,False
1,71.0,218,6,2008-01-13,False
15,4791.0,95,9,2008-02-01,False
14,2890.0,66,9,2008-02-08,False
19,3573.0,125,9,2008-02-08,False
39,8392.0,13,9,2008-03-01,False
1,247.0,54,9,2008-01-11,False
15,4041.0,40,9,2008-02-13,False
28,5050.0,111,9,2008-02-17,False
11,3575.0,220,7,2008-01-20,False
5,7223.0,216,7,2008-01-31,False
4,828.0,219,6,2008-01-16,False
17,5082.0,229,6,2008-02-07,False
11,1614.0,203,7,2008-02-01,False
12,2276.0,226,7,2008-01-31,False
12,4056.0,218,6,2008-01-23,False
36,9193.0,243,7,2008-02-23,False
18,6203.0,240,6,2008-02-01,False
31,6987.0,238,7,2008-02-16,False
9,5306.0,109,9,2008-01-27,False
21,14176.0,70,9,2008-02-04,False
29,7476.0,305,8,2008-02-18,False
23,9674.0,116,9,2008-03-06,False
1,1996.0,44,9,2008-01-17,False
2,4898.0,61,9,2008-01-12,False
7,5232.0,203,6,2008-01-29,False
18,4051.0,40,9,2008-02-09,False
48,18745.0,115,9,2008-02-13,False
4,730.0,210,7,2008-01-16,False
23,4113.0,99,9,2008-01-26,False
1,240.0,90,9,2008-01-16,False
49,11695.0,301,8,2008-02-23,False
35,10290.0,227,6,2008-02-16,False
38,9065.0,117,9,2008-03-06,False
46,13336.0,34,9,2008-03-03,False
9,2353.0,95,9,2008-01-24,False
72,26480.0,112,9,2008-03-04,False
25,7636.0,51,9,2008-02-06,False
48,16459.0,9,9,2008-03-07,False
12,2666.0,105,9,2008-01-28,False
4,796.0,202,7,2008-01-13,False
8,2665.0,213,7,2008-01-28,False
63,20529.0,221,7,2008-03-05,False
76,20474.0,87,9,2008-02-24,False
10,2093.0,202,7,2008-01-17,False
82,22308.0,224,7,2008-02-27,False
41,24431.0,307,8,2008-02-19,False
34,6921.0,211,7,2008-02-17,False
12,3535.0,13,9,2008-01-15,False
15,7172.0,25,9,2008-01-28,False
34,11920.0,218,7,2008-02-14,False
53,17428.0,33,9,2008-02-21,False
23,7287.0,130,9,2008-02-05,False
43,13814.0,118,9,2008-03-06,False
52,20022.0,85,9,2008-03-06,False
14,6202.0,122,9,2008-02-12,False
7,1636.0,207,7,2008-02-01,False
8,2317.0,48,9,2008-01-18,False
2,541.0,34,9,2008-01-14,False
11,3938.0,34,9,2008-01-25,False
11,4420.0,216,6,2008-01-29,False
15,9415.0,56,9,2008-01-18,False
33,6698.0,239,7,2008-02-21,False
40,7746.0,98,9,2008-02-28,False
5,4754.0,308,8,2008-01-20,False
18,6605.0,207,6,2008-02-18,False
21,7003.0,36,9,2008-02-22,False
5,2029.0,209,6,2008-02-20,False
9,7417.0,44,9,2008-01-14,False
5,885.0,39,9,2008-01-16,False
73,23967.0,39,9,2008-02-20,False
29,6131.0,18,9,2008-03-11,False
32,7851.0,237,7,2008-02-26,False
58,10377.0,217,6,2008-03-11,False
42,9891.0,37,9,2008-02-19,False
45,8776.0,300,8,2008-02-25,False
88,39954.0,208,6,2008-02-26,False
15,2527.0,47,9,2008-01-19,False
51,18469.0,115,9,2008-03-03,False
31,5358.0,236,7,2008-02-13,False
38,9871.0,249,7,2008-03-13,False
4,1836.0,240,7,2008-01-24,False
20,2862.0,226,7,2008-02-05,False
33,15326.0,60,9,2008-03-06,False
9,2044.0,106,9,2008-01-17,False
26,9460.0,228,7,2008-02-23,False
9,2429.0,36,9,2008-02-04,False
32,7215.0,79,9,2008-03-04,False
1,121.0,11,9,2008-01-15,False
46,15736.0,85,9,2008-02-20,False
46,17796.0,8,9,2008-03-08,False
23,7552.0,108,9,2008-01-29,False
2,596.0,303,8,2008-01-18,False
49,10057.0,66,9,2008-02-23,False
17,3613.0,303,8,2008-02-06,False
16,2686.0,231,7,2008-02-16,False
16,3567.0,207,6,2008-01-17,False
7,5684.0,214,7,2008-01-16,False
59,17966.0,201,7,2008-02-18,False
24,4944.0,249,7,2008-02-17,False
34,11475.0,124,9,2008-03-07,False
21,4289.0,43,9,2008-02-07,False
32,8516.0,211,6,2008-02-18,False
16,1681.0,256,6,2008-01-18,False
10,1513.0,53,9,2008-01-20,False
19,7621.0,232,6,2008-02-09,False
50,12117.0,205,7,2008-02-26,False
12,9326.0,104,9,2008-02-03,False
33,11719.0,309,8,2008-02-16,False
46,15506.0,248,7,2008-03-12,False
10,876.0,236,7,2008-01-27,False
31,11458.0,62,9,2008-02-16,False
39,6454.0,17,9,2008-02-15,False
48,11511.0,36,9,2008-03-02,False
21,5067.0,262,6,2008-02-17,False
35,7437.0,205,7,2008-02-12,False
3,642.0,125,9,2008-01-21,False
64,21936.0,40,9,2008-03-08,False
8,1641.0,226,7,2008-01-18,False
34,10819.0,9,9,2008-03-08,False
35,8316.0,308,8,2008-02-10,False
45,8596.0,105,9,2008-02-23,False
37,13491.0,230,7,2008-03-09,False
48,11484.0,201,6,2008-02-19,False
10,2858.0,220,6,2008-01-24,False
40,17310.0,306,8,2008-02-12,False
72,15608.0,22,9,2008-02-27,False
41,17729.0,228,7,2008-03-03,False
17,2795.0,244,7,2008-01-30,False
35,14913.0,42,9,2008-02-20,False
17,4478.0,42,9,2008-01-31,False
34,12030.0,305,8,2008-02-20,False
2,452.0,55,9,2008-01-15,False
10,3763.0,2,9,2008-02-03,False
22,13317.0,12,9,2008-02-13,False
34,11330.0,4,9,2008-03-01,False
13,2915.0,234,7,2008-02-02,False
10,2686.0,233,6,2008-02-02,False
5,1128.0,12,9,2008-01-26,False
14,4967.0,7,9,2008-01-31,False
11,13547.0,218,7,2008-02-08,False
5,621.0,114,9,2008-01-21,False
42,33873.0,245,7,2008-03-06,False
13,3224.0,123,9,2008-01-30,False
46,12011.0,242,6,2008-03-08,False
5,2328.0,212,6,2008-01-26,False
13,5098.0,22,9,2008-01-31,False
10,2825.0,12,9,2008-02-08,False
73,16342.0,39,9,2008-02-28,False
10,1712.0,54,9,2008-01-17,False
36,8523.0,234,7,2008-03-09,False
50,18755.0,30,9,2008-02-24,False
13,3956.0,216,7,2008-01-29,False
15,11257.0,201,7,2008-01-31,False
3,1132.0,58,9,2008-01-16,False
29,4794.0,216,6,2008-03-06,False
66,14504.0,226,6,2008-03-05,False
45,27490.0,244,6,2008-03-01,False
60,19219.0,101,9,2008-02-19,False
4,256.0,239,6,2008-01-20,False
8,1544.0,79,9,2008-01-19,False
111,40646.0,85,9,2008-03-10,False
44,12023.0,104,9,2008-02-19,False
12,7634.0,31,9,2008-02-04,False
10,1972.0,207,6,2008-02-01,False
36,12506.0,217,7,2008-02-25,False
20,3095.0,235,7,2008-02-25,False
5,7647.0,46,9,2008-01-18,False
27,16119.0,60,9,2008-02-26,False
3,1189.0,228,6,2008-01-29,False
12,8546.0,65,9,2008-01-29,False
2,1978.0,56,9,2008-01-19,False
2,444.0,51,9,2008-01-19,False
4,1346.0,253,6,2008-01-23,False
3,1097.0,100,9,2008-01-18,False
39,24994.0,207,7,2008-02-18,False
16,4788.0,215,7,2008-01-28,False
5,730.0,115,9,2008-01-28,False
34,9113.0,244,7,2008-02-09,False
12,6173.0,205,7,2008-02-01,False
62,17240.0,38,9,2008-03-01,False
7,1967.0,303,8,2008-02-10,False
27,4316.0,256,6,2008-02-12,False
38,18114.0,14,9,2008-02-19,False
30,12461.0,56,9,2008-02-10,False
15,3166.0,64,9,2008-01-26,False
11,2866.0,201,7,2008-02-20,False
9,3116.0,54,9,2008-01-19,False
4,1860.0,220,7,2008-01-24,False
32,10607.0,202,7,2008-02-25,False
21,7702.0,81,9,2008-02-11,False
37,4616.0,7,9,2008-02-12,False
67,21001.0,218,7,2008-03-16,False
19,5216.0,206,7,2008-02-11,False
4,1214.0,243,7,2008-01-20,False
30,21105.0,221,7,2008-02-04,False
28,9934.0,76,9,2008-02-22,False
24,10734.0,37,9,2008-02-22,False
7,2379.0,7,9,2008-01-28,False
52,11627.0,225,7,2008-03-02,False
15,7217.0,120,9,2008-02-17,False
36,8951.0,29,9,2008-02-06,False
12,4438.0,26,9,2008-02-03,False
58,14251.0,121,9,2008-02-27,False
63,17665.0,80,9,2008-03-11,False
18,15197.0,32,9,2008-02-04,False
11,3529.0,108,9,2008-02-23,False
52,17198.0,225,6,2008-03-14,False
22,5639.0,205,7,2008-02-17,False
10,8019.0,239,7,2008-01-28,False
78,16635.0,232,7,2008-03-07,False
26,6255.0,227,7,2008-02-22,False
9,7583.0,115,9,2008-02-04,False
39,12441.0,26,9,2008-03-16,False
16,3592.0,79,9,2008-02-05,False
13,4164.0,60,9,2008-02-10,False
39,16175.0,211,6,2008-02-28,False
71,20108.0,38,9,2008-03-17,False
30,21627.0,33,9,2008-02-20,False
49,15360.0,128,9,2008-02-24,False
28,8283.0,308,8,2008-02-14,False
45,25118.0,220,7,2008-03-15,False
2,134.0,14,9,2008-01-29,False
8,2273.0,75,9,2008-01-27,False
48,9385.0,75,9,2008-02-25,False
62,12692.0,211,7,2008-03-06,False
105,27163.0,54,9,2008-03-10,False
19,11424.0,46,9,2008-03-10,False
13,4987.0,3,9,2008-02-12,False
3,644.0,241,7,2008-01-20,False
44,11489.0,19,9,2008-02-25,False
12,2409.0,259,6,2008-02-04,False
53,19179.0,70,9,2008-03-05,False
61,14243.0,200,7,2008-03-06,False
52,17379.0,92,9,2008-02-26,False
53,22376.0,129,9,2008-03-05,False
25,6364.0,203,6,2008-03-15,False
35,15586.0,220,7,2008-03-05,False
73,18613.0,303,8,2008-03-03,False
14,2453.0,23,9,2008-01-29,False
43,13367.0,203,6,2008-03-09,False
36,27831.0,77,9,2008-02-18,False
24,7276.0,306,8,2008-03-06,False
72,35462.0,219,7,2008-03-07,False
28,6358.0,12,9,2008-02-23,False
26,8493.0,241,7,2008-02-15,False
85,22091.0,247,6,2008-03-12,False
31,13134.0,39,9,2008-02-11,False
15,6777.0,5,9,2008-01-27,False
11,3190.0,300,8,2008-01-28,False
66,9956.0,34,9,2008-03-02,False
9,3641.0,228,6,2008-02-14,False
23,8120.0,249,7,2008-02-01,False
18,9204.0,87,9,2008-02-02,False
42,11652.0,14,9,2008-02-18,False
10,3842.0,41,9,2008-02-06,False
44,11760.0,51,9,2008-02-12,False
30,8232.0,77,9,2008-03-04,False
49,12127.0,12,9,2008-03-05,False
66,22496.0,224,7,2008-03-14,False
4,372.0,230,7,2008-01-25,False
43,9982.0,218,6,2008-03-11,False
33,8997.0,44,9,2008-03-06,False
41,10822.0,77,9,2008-02-07,False
1,289.0,76,9,2008-01-31,False
13,8207.0,208,6,2008-01-26,False
30,8856.0,50,9,2008-02-14,False
18,7459.0,5,9,2008-02-13,False
3,1717.0,87,9,2008-01-21,False
33,9377.0,200,7,2008-03-01,False
38,10716.0,93,9,2008-03-08,False
49,11522.0,254,6,2008-02-28,False
3,482.0,97,9,2008-01-29,False
36,13455.0,91,9,2008-02-25,False
53,25448.0,123,9,2008-03-06,False
59,17625.0,242,7,2008-03-13,False
76,21465.0,117,9,2008-03-10,False
63,27339.0,101,9,2008-03-07,False
4,1137.0,25,9,2008-01-22,False
1,214.0,229,7,2008-01-31,False
31,6895.0,90,9,2008-02-15,False
56,18331.0,13,9,2008-02-22,False
4,668.0,75,9,2008-01-24,False
88,39846.0,20,9,2008-03-19,False
25,14741.0,239,6,2008-02-20,False
21,4281.0,257,6,2008-02-22,False
15,3228.0,19,9,2008-02-08,False
5,976.0,94,9,2008-02-08,False
9,1753.0,201,7,2008-02-05,False
10,1332.0,76,9,2008-02-09,False
48,16996.0,202,7,2008-02-21,False
23,13600.0,3,9,2008-02-19,False
33,15531.0,247,7,2008-02-27,False
30,15185.0,218,6,2008-02-15,False
50,9283.0,226,6,2008-03-15,False
57,25783.0,8,9,2008-03-13,False
50,10851.0,15,9,2008-03-08,False
47,13062.0,221,6,2008-03-10,False
52,30961.0,27,9,2008-03-09,False
28,6720.0,303,8,2008-02-26,False
75,23241.0,255,6,2008-03-14,False
60,13525.0,230,7,2008-03-17,False
29,6995.0,78,9,2008-02-15,False
11,3263.0,222,6,2008-01-30,False
27,5968.0,207,6,2008-02-15,False
36,8460.0,228,7,2008-03-20,False
14,3081.0,237,7,2008-01-29,False
17,2862.0,234,7,2008-02-13,False
19,3978.0,107,9,2008-03-09,False
45,16225.0,83,9,2008-03-11,False
54,18578.0,220,7,2008-03-08,False
46,20860.0,203,6,2008-03-03,False
8,6164.0,105,9,2008-01-24,False
22,13128.0,18,9,2008-03-06,False
26,20074.0,14,9,2008-02-22,False
38,12904.0,82,9,2008-02-13,False
56,12773.0,242,6,2008-03-12,False
